top_two_selection_variant,exposure_universe,premium_variant,default_mapping_rule,year,state,selected_top_two_plan_pairs,zero_prior_plan_pairs,zero_to_positive_plan_pairs,across_zero_to_positive_plan_pairs,same_issuer_zero_to_positive_plan_pairs,candidate_prior_plans_with_across_turnover_not_in_current_top_two,county_years_where_alternative_top_two_adds_across,county_years_where_current_top_two_has_same_issuer_but_alternative_has_across,county_years_where_current_top_two_has_no_turnover_but_alternative_has_turnover,county_years_where_tie_handling_changes_across,county_years_where_standard_component_collapse_changes_across,county_years_where_rating_area_handling_changes_across,difference_vs_current_repo_rule,difference_vs_drake_anchor_if_available
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,DE,6,6,6,0,6,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,FL,134,123,81,4,77,0,0,,,0,0,0,0,-207
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,GA,318,318,189,0,189,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,HI,10,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,IA,198,198,83,0,83,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,IL,204,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,IN,184,161,97,6,91,0,0,,,0,0,0,0,-205
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,KS,210,210,146,0,146,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,LA,128,128,21,0,21,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,MI,166,166,40,0,40,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,MO,230,230,72,0,72,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,MS,164,123,64,0,64,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,MT,112,112,2,0,2,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,NC,200,200,115,0,115,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,ND,106,106,30,0,30,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,NE,186,186,14,0,14,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,NH,20,20,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,OH,176,117,74,0,74,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,OK,154,154,86,0,86,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,OR,78,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,SC,92,92,69,0,69,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,SD,132,132,59,0,59,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,TN,190,190,117,0,117,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,TX,513,513,325,9,316,3,3,,,0,0,0,0,-208
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,UT,58,33,13,0,13,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,VA,266,258,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,WI,144,133,59,2,57,0,0,,,0,0,0,0,-210
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,WV,110,76,1,0,1,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,current_repo_rule,2024,WY,46,46,46,0,46,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,AK,58,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,AL,134,134,21,0,21,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,AR,150,150,150,0,150,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,AZ,30,30,18,0,18,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,DE,6,6,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,FL,134,133,122,2,120,0,0,,,0,0,0,0,-210
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,GA,318,300,299,0,299,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,HI,10,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,IA,198,198,107,0,107,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,IL,204,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,IN,184,184,154,0,154,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,KS,210,210,196,172,24,0,0,,,0,0,0,0,-124
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,KY,240,110,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,LA,130,124,41,0,41,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,ME,32,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,MI,166,161,61,0,61,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,MO,230,230,162,0,162,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,MS,164,164,164,0,164,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,MT,112,112,49,0,49,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,NC,200,195,173,0,173,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,ND,106,106,37,0,37,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,NE,186,186,186,0,186,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,NH,20,20,20,0,20,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,NM,66,38,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,OH,176,156,133,0,133,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,OK,154,154,90,0,90,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,OR,72,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,SC,92,92,81,0,81,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,SD,132,132,82,0,82,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,TN,190,190,158,0,158,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,TX,508,506,319,0,319,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,UT,58,28,12,0,12,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,VA,266,266,99,0,99,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,WI,144,132,80,0,80,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,WV,110,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2022,WY,46,46,45,0,45,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,AK,60,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,AL,134,134,82,0,82,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,AR,150,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,AZ,30,30,11,0,11,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,DE,6,6,6,0,6,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,FL,134,120,83,0,83,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,GA,318,295,196,0,196,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,HI,10,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,IA,198,198,108,0,108,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,IL,204,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,IN,184,122,105,0,105,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,KS,294,210,46,0,46,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,LA,128,128,34,0,34,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,MI,166,165,48,0,48,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,MO,230,230,142,0,142,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,MS,164,164,54,0,54,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,MT,112,112,56,0,56,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,NC,200,141,76,3,73,0,0,,,0,0,0,0,-208
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,ND,106,106,69,0,69,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,NE,202,186,186,0,186,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,NH,20,20,10,0,10,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,OH,176,158,134,2,132,0,0,,,0,0,0,0,-210
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,OK,154,144,32,0,32,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,OR,72,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,SC,92,92,68,1,67,0,0,,,0,0,0,0,-210
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,SD,132,132,82,0,82,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,TN,190,190,26,0,26,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,TX,508,489,388,0,388,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,UT,58,35,19,0,19,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,VA,266,233,199,0,199,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,WI,144,134,48,0,48,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,WV,110,15,9,0,9,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2023,WY,46,46,24,0,24,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,AK,60,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,AL,155,136,105,0,105,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,AR,150,150,150,0,150,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,AZ,30,30,19,0,19,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,DE,6,6,6,0,6,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,FL,134,123,81,4,77,0,0,,,0,0,0,0,-207
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,GA,318,318,189,0,189,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,HI,10,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,IA,198,198,83,0,83,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,IL,204,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,IN,184,161,97,6,91,0,0,,,0,0,0,0,-205
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,KS,210,210,146,0,146,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,LA,128,128,21,0,21,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,MI,166,166,40,0,40,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,MO,230,230,72,0,72,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,MS,164,123,64,0,64,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,MT,112,112,2,0,2,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,NC,200,200,115,0,115,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,ND,106,106,30,0,30,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,NE,186,186,14,0,14,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,NH,20,20,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,OH,176,117,74,0,74,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,OK,154,154,86,0,86,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,OR,78,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,SC,92,92,69,0,69,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,SD,132,132,59,0,59,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,TN,190,190,117,0,117,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,TX,513,513,325,9,316,3,3,,,0,0,0,0,-208
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,UT,58,33,13,0,13,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,VA,266,258,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,WI,144,133,59,2,57,0,0,,,0,0,0,0,-210
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,WV,110,76,1,0,1,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,2024,WY,46,46,46,0,46,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,source_order_first_valid,2022,AK,58,0,0,0,0,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,source_order_first_valid,2022,AL,134,134,21,0,21,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,source_order_first_valid,2022,AR,150,150,150,0,150,0,0,,,0,0,0,0,-211
rank_by_rate_puf_premium,include_ties_at_second_lowest,current_ehb_all_states,source_order_first_valid,2022,AZ,30,30,18,0,18,0,0,,,0,0,0,0,-211
